Id,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1,28.0,Female,Master's,Data Analyst,3.0,65000.0
3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0
6,42.0,Female,Master's,Product Manager,12.0,120000.0
11,48.0,Female,Bachelor's,HR Manager,18.0,140000.0
13,40.0,Female,Master's,Project Manager,14.0,130000.0
16,33.0,Female,Master's,Marketing Manager,7.0,90000.0
20,34.0,Female,Master's,Business Analyst,5.0,80000.0
23,36.0,Female,Bachelor's,Recruiter,9.0,60000.0
26,37.0,Female,Master's,Software Manager,11.0,110000.0
28,43.0,Female,PhD,Senior Consultant,15.0,140000.0
31,31.0,Female,Bachelor's,Accountant,4.0,55000.0
33,39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0
36,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0
40,34.0,Female,Master's,UX Designer,5.0,80000.0
47,45.0,Female,Master's,Director of Marketing,16.0,180000.0
50,51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0
52,40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0
54,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0
56,27.0,Female,Master's,UX Researcher,2.0,65000.0
58,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0
60,51.0,Female,Master's,Director of Operations,23.0,170000.0
62,40.0,Female,Bachelor's,HR Manager,12.0,80000.0
65,38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0
69,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0
71,39.0,Female,Bachelor's,Recruiter,11.0,70000.0
74,42.0,Female,Master's,Creative Director,14.0,120000.0
76,50.0,Female,Bachelor's,Operations Manager,22.0,160000.0
78,48.0,Female,Master's,Human Resources Director,20.0,180000.0
79,30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
81,41.0,Female,Master's,Data Analyst,13.0,80000.0
85,34.0,Female,Master's,Financial Advisor,10.0,95000.0
87,40.0,Female,Bachelor's,HR Generalist,15.0,80000.0
89,31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
93,52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0
95,39.0,Female,Bachelor's,Training Specialist,12.0,65000.0
98,38.0,Female,Master's,Public Relations Manager,10.0,90000.0
102,49.0,Female,Master's,Senior HR Manager,19.0,150000.0
104,39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
106,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0
108,41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0
110,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0
112,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
116,40.0,Female,Bachelor's,Office Manager,15.0,65000.0
120,42.0,Female,Bachelor's,Sales Manager,17.0,100000.0
122,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0
126,37.0,Female,Master's,Senior HR Generalist,9.0,95000.0
128,32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
130,50.0,Female,Master's,Director of Operations,21.0,160000.0
132,40.0,Female,Master's,Senior Training Specialist,12.0,100000.0
135,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0
137,30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
139,43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
141,41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
148,38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0
154,37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
156,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0
160,39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
164,41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
166,40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
168,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
170,50.0,Female,Master's,Director of Finance,20.0,180000.0
176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
178,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0
184,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
186,33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0
188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
190,39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
194,40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
196,41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
198,32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
200,49.0,Female,Master's,Director of Human Capital,21.0,180000.0
205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
207,39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
213,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
215,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
217,50.0,Female,PhD,Director of Operations,22.0,180000.0
219,40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
223,42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
225,40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
227,33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
229,51.0,Female,Master's,Director of Human Resources,21.0,190000.0
232,27.0,Female,Master's,Junior Research Scientist,1.5,50000.0
234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
236,37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
238,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
240,44.0,Female,PhD,Senior HR Manager,18.0,160000.0
242,38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0
244,34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
246,49.0,Female,Master's,Director of Marketing,21.0,180000.0
248,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
252,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
254,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
